Denominación social,Precepto legal infringido (vigente en la fecha en que se cometió la infracción),Incumplimiento,Sanción,Medio de defensa,Vigencia,Aclaraciones,Fecha de Cobro
"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander México","Numerales II.I.1, II.I.1.1, II.I.1.2, y Anexos 3 y 27, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $345,870.40 Fecha de imposición17-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,12-02-2019
"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander México","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $300,236.00 Fecha de imposición08-10-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-10-2019
,,,"$646,106.40",,,,
"BanCoppel, S.A., Institución de Banca Múltiple","Numerales II.I.1, II.I.1.1, inciso a), II.I.1.2, II.I.1.3 y II.VII.1, primer párrafo, y los Anexos 3 y 27, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $252,516.80 Fecha de imposición21-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,07-02-2019
,,,"$252,516.80",,,,
"Bansi, S.A., Institución de Banca Múltiple","Numeral II.II.7, párrafo segundo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $326,241.60 Fecha de imposición21-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,13-02-2019
,,,"$326,241.60",,,,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Numerales II.I.1, II.I.1.1, inciso a), en relación con el Anexo 3, II.I.1.3 y II.VII.1, primer párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $429,942.40 Fecha de imposición29-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,11-02-2019
,,,"$429,942.40",,,,
"HSBC México, S.A., Institución de Banca Múltiple, Grupo Financiero HSBC","Numerales II.I.1, II.I.1.1, inciso a), II.I.1.2, II.I.1.4, y los Anexos 3 y 27, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $315,284.80 Fecha de imposición30-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,13-02-2019
,,,"$315,284.80",,,,
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat",Numeral II.I.1.6 de la Circular de Operaciones de Caja,Falta a la regulación de operaciones de caja.,"Monto $281,789.60 Fecha de imposición10-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,31-01-2019
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral II.VIII.2.4, en relación con su similar II.VIII.2.1, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $113,977.60 Fecha de imposición03-10-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,25-10-2019
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral II.VIII.2.4, en relación con su similar II.VIII.2.1, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $118,430.40 Fecha de imposición03-10-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,25-10-2019
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $276,261.60 Fecha de imposición03-10-2019",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",25-10-2019
,,,"$790,459.20",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Dun & Bradstreet, S.A. Sociedad de Información Crediticia","Séptima, primer párrafo, de las Reglas",Falta a las reglas generales a las que deberán sujetarse las operaciones y actividades de las sociedades de información crediticia y sus usuarios.,"Monto $24,932.00 Fecha de imposición13-07-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,10-08-2016
"Dun & Bradstreet, S.A. Sociedad de Información Crediticia","Decimosegunda, primer párrafo, fracción III, de las Reglas",Falta a las reglas generales a las que deberán sujetarse las operaciones y actividades de las sociedades de información crediticia y sus usuarios.,"Monto $24,932.00 Fecha de imposición13-07-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,10-08-2016
,,,"$49,864.00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Círculo de Crédito, S.A. de C.V., Sociedad de Información Crediticia","Numerales 5.1 y 5.2 del considerando Quinto, infringen la Séptima, primer párrafo, de las Reglas generales a las que deberán sujetarse las operaciones y actividades de las sociedades de información crediticia y sus Usuarios",Falta a las reglas generales a las que deberán sujetarse las operaciones y actividades de las sociedades de información crediticia y sus usuarios.,"Monto $35,067.02 Fecha de imposición28-07-2017",Amparo,,Esta conducta no se considera graveNo es reincidente.,26-07-2019
,,,"$35,067.02",,,,
,,,,,,,
,,,,,,,
